MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name,Gender
1,0,1,2,1,0,0,2,2,2,2,2,0,0,0,0,0,kylie jenner,f
2,4,0,4,5,4,0,4,4,0,2,0,0,0,0,0,6,kris jenner,f
3,2,1,0,1,0,0,2,2,2,2,2,0,0,0,0,0,kendall jenner,f
4,4,5,4,0,0,4,0,0,4,4,4,5,5,0,0,0,bruce,m
5,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,rob kardashian,m
6,0,0,0,1,0,0,0,0,2,2,2,0,1,0,0,0,cassandra jenner,f
7,2,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,kourtney kardashian,f
8,2,1,2,0,2,0,2,0,0,0,0,0,0,0,5,4,kim kardashian,f
9,2,0,2,1,0,2,0,0,0,2,2,1,0,0,0,0,brody,m
10,2,2,2,1,0,2,0,0,2,0,2,0,1,0,0,0,burt,m
11,2,0,2,1,0,2,0,0,2,2,0,1,0,5,0,0,brandon,m
12,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,0,linda thompson,f
13,0,0,0,5,0,4,0,0,0,4,0,0,0,0,0,0,chrystie crownover,f
14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,leah jenner,f
15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,kanye,m
16,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,north,f
